1,K1001,Ручка шариковая синяя,1,25,1,1,1,0,150,"Ручка шариковая, синие чернила, пластиковый корпус",images/pen1.jpg
2,K1002,Карандаш чернографитный,1,15,2,2,1,5,200,"Карандаш HB, деревянный корпус, с ластиком",images/pencil1.jpg
3,K1003,"Блокнот А5, 80 листов",1,120,3,3,2,10,80,"Блокнот в твердой обложке, клетка, 80 листов",images/notebook1.jpg
4,K1004,Папка-скоросшиватель А4,1,45,1,4,3,0,120,"Папка-скоросшиватель пластиковая, синяя",images/folder1.jpg
5,K1005,Степлер мини,1,280,2,5,4,15,40,"Степлер компактный, вмещает до 20 листов",images/stapler1.jpg
6,K1006,Ножницы канцелярские,1,180,1,6,5,0,65,"Ножницы с пластмассовыми ручками, длина лезвия 15 см",images/scissors1.jpg
7,K1007,"Бумага А4, 500 л.",2,350,3,7,2,8,30,"Бумага для офисной техники, плотность 80 г/м²",images/paper1.jpg
8,K1008,Маркер перманентный,1,60,2,8,1,0,90,"Маркер перманентный, черный, тонкий наконечник",images/marker1.jpg
9,K1009,Линейка пластиковая 30см,1,40,1,9,5,0,110,"Линейка гибкая, прозрачная, с метрической и дюймовой шкалой",images/ruler1.jpg
10,K1010,Ластик белый,1,20,2,2,1,0,200,"Ластик мягкий, для карандаша и чернил",images/eraser1.jpg
11,K1011,"Тетрадь 48л., клетка",1,65,3,10,2,5,180,"Тетрадь в мягкой обложке, 48 листов, клетка",images/copybook1.jpg
12,K1012,Дырокол на 2 отверстия,1,320,1,4,4,12,25,"Дырокол пластиковый, регулируемое расстояние между отверстиями",images/holepunch1.jpg
13,K1013,Корректирующая лента,1,110,2,1,1,0,70,"Корректирующая лента, ширина 5 мм, длина 6 м",images/corrector1.jpg
14,K1014,"Конверт С5, без марки",1,8,3,10,2,0,300,"Конверт почтовый, формат С5, белый",images/envelope1.jpg
15,K1015,Набор цветных карандашей,3,450,1,11,6,20,35,"Набор из 24 цветных карандашей, деревянный корпус",images/pencils_set1.jpg
16,K1016,Точилка для карандашей,1,35,2,5,1,0,85,Точилка пластиковая с контейнером для стружки,images/sharpener1.jpg
17,K1017,Скрепки металлические,4,55,1,4,7,0,60,"Скрепки оцинкованные, размер 28 мм, 100 шт. в коробке",images/clips1.jpg
18,K1018,"Файл А4, прозрачный",1,5,3,12,3,0,500,"Файл для документов, полипропилен, матовая поверхность",images/file1.jpg
19,K1019,Клей-карандаш,1,75,2,1,8,0,120,"Клей-карандаш, 21 г, нетоксичный, с колпачком",images/glue1.jpg
20,K1020,Блок стикеров 76x76 мм,5,90,1,13,2,10,45,"Блок липких заметок, 100 листов, желтый",images/stickers1.jpg
